"old_key","new_key","scope","source_de","source_en","windows_key_match_or_empty"
"add_weather_preset","ADD_WEATHER_PRESET","one","Neuen Eintrag hinzufügen","Add new entry",""
"address_not_found","ADDRESS_NOT_FOUND","one","Adresse nicht gefunden","",""
"address_search_no_internet","ADDRESS_SEARCH_NO_INTERNET","one","Adresssuche benötigt Internetverbindung","",""
"and_more","AND_MORE","one","... und {count} weitere","... and {count} more",""
"and_more_damages","AND_MORE_DAMAGES","one","... +{count} weitere","... +{count} more",""
"and_more_notes","AND_MORE_NOTES","one","... +{count} weitere","... +{count} more",""
"annotated","ANNOTATED","one","Markiert","Annotated",""
"app_copyright","APP_COPYRIGHT","one","© 2026 UIP Team","© 2026 UIP Team",""
"app_full_name","APP_FULL_NAME","one","ONE.APP - NSP3CT Slave Monitor","ONE.APP - NSP3CT Slave Monitor",""
"app_info","APP_INFO","one","App Info","App info",""
"app_name","APP_NAME","one","ONE.APP","ONE.APP",""
"app_version","ABOUT_VERSION","shared","Version","Version","ABOUT_VERSION"
"apply_location","EZ_AI_APPLY","shared","Übernehmen","","EZ_AI_APPLY"
"back","Common.Back","shared","Zurück","Back","Common.Back"
"battery","BATTERY","one","Batterie","Battery",""
"beta_disclaimer","BETA_DISCLAIMER","one","Dies ist eine Beta-Version.
Für Datenverlust wird keine Haftung übernommen.","This is a beta version.
No liability is accepted for data loss.",""
"buffering","BUFFERING","one","Buffering...","Buffering...",""
"button_ok","BTN_OK","shared","OK","OK","BTN_OK"
"cable_label","CABLE_LABEL","one","Kabel:","Cable:",""
"camera_c10","CAMERA_C10","one","C10","C10",""
"camera_c13","CAMERA_C13","one","C13","C13",""
"camera_ip","CAMERA_IP","one","Kamera-IP","Camera IP",""
"camera_osd","CAMERA_OSD","one","Kamera-OSD","Camera OSD",""
"camera_password","SETTINGS_HW_PASSWORD","shared","Passwort","Password","SETTINGS_HW_PASSWORD"
"camera_user","SETTINGS_HW_USERNAME","shared","Benutzername","Username","SETTINGS_HW_USERNAME"
"change_logo","CHANGE_LOGO","one","Logo ändern","Change logo",""
"close","BTN_CLOSE","shared","Schließen","Close","BTN_CLOSE"
"color_label","COLOR_LABEL","one","Farbe:","Colour:",""
"company_data","COMPANY_DATA","one","Firmendaten","Company data",""
"company_logo","PRINT_LOGO","shared","Firmenlogo","Company logo","PRINT_LOGO"
"connected_with_ip","CONNECTED_WITH_IP","one","Verbunden ({ip})","Connected ({ip})",""
"connecting_stream","CONNECTING_STREAM","one","Verbinde...","Connecting...",""
"crawler_label","CRAWLER_LABEL","one","Crawler:","Crawler:",""
"create_inspection_first","CREATE_INSPECTION_FIRST","one","Erstellen Sie zunächst eine Inspektion","First create an inspection",""
"create_new_project","CREATE_NEW_PROJECT","one","Erstellen Sie ein neues Projekt","Create a new project",""
"create_note","CREATE_NOTE","one","Notiz erstellen","Create note",""
